Age	RatePer100K	Relative_Incidence_Rate
<1	26.5743	3.1893022882931583
1-4	22.725	2.7273303342500843
5-9	13.7171	1.6462513939688377
10-14	16.3839	1.9663061590019786
15-19	25.1948	3.0237422356595833
20-24	39.0728	4.689303968496665
25-29	61.845	7.42229898885353
30-34	99.8732	11.98623577287681
35-39	148.1908	17.785050125271173
40-44	231.8336	27.82340197044666
45-49	357.6832	42.9271833404462
50-54	569.7604	68.37953012868918
55-59	833.2324	100.00000000000001
60-64	1184.3105	142.1344753276517
65-69	1620.1565	194.44233085511317
70-74	1955.6013	234.70058293460505
75-79	2215.7254	265.9192561403037
80-84	2333.401	280.0420386917263
85+	2143.7567	257.2819659917209
